Subject,Region,Norm_MSE,Delta,Theta,Alpha,Beta,Gamma
202014,Hippocampus,0.734,0.246,0.21,0.592,0.38,0.631
202014,Hippocampus,0.556,0.164,0.429,0.452,0.503,0.622
202014,Hippocampus,2.026,0.915,0.956,0.905,0.045,0.922
202014,Hippocampus,2.395,0,0.603,1,0.999,1
202014,Hippocampus,1.51,0.045,1,0,0.005,0.999
202014,Hippocampus,0.872,0.484,0.728,0.604,0,0.513
202014,Hippocampus,0.984,0,0,0.156,1,0
202014,Hippocampus,1.048,0.612,0.743,0.45,0.673,0.256
202014,OFC,0.896,0.478,0.479,0.995,0.971,0.24
202014,OFC,0.584,0.094,0.041,0.885,0.858,0.884
202014,OFC,0.914,1,1,1,0,0.5
202014,OFC,0.651,0.197,0.294,0.509,0.472,0.586
202014,OFC,0.712,0.001,0.007,0.998,0.217,0.409
202014,OFC,0.871,0.249,0.519,0.055,0.867,0.223
202014,OFC,0.613,0,0,1,0.675,0
202014,OFC,0.98,1,0.999,0.891,0.946,1
202016,Hippocampus,2.022,0.547,0.577,0.385,0.454,0.357
202016,Hippocampus,1.561,1,0.289,1,0,0.017
202016,Hippocampus,2.179,0.071,0.902,0.005,0.519,0.988
202016,Hippocampus,3.067,0.272,0.463,0.779,0.447,0.456
202016,Hippocampus,1.604,0.625,0.59,0.528,0.54,0.355
202016,Hippocampus,1.24,0.009,0.988,0.522,0.128,0.011
202016,Hippocampus,4.018,0.07,0.837,0.254,0.823,0.275
202016,Hippocampus,2.576,0.275,0.243,0.554,0.681,0.198
202016,OFC,1.9,0.834,0.404,0.253,0.189,0.467
202016,OFC,0.968,1,0.001,0,0.999,1
202016,OFC,1.197,1,0.014,0.069,0,0.251
202016,OFC,1.098,0.092,0.401,0.886,0.082,0.727
202016,OFC,0.854,0.979,0.839,0.035,0.019,0.935
202016,OFC,1.016,0,1,1,0,1
202016,OFC,0.748,0.729,0.637,0.697,0.645,0.616
202016,OFC,0.831,0.639,0.21,0.56,0.277,0.764
202202,Hippocampus,3.303,0.142,0.623,0.268,0.353,0.813
202202,Hippocampus,2.468,0.302,0,0,0.931,0
202202,Hippocampus,2.001,1,0,1,0,0
202202,Hippocampus,1.402,0,1,0,1,0
202202,Hippocampus,1.371,0.078,0.086,0.016,0.248,0.948
202202,Hippocampus,1.914,1,0,0.156,1,0
202202,Hippocampus,1.003,0,0.821,0.857,0,0.874
202202,Hippocampus,1.198,0.733,0.832,0.769,0.643,0.856
202202,OFC,1.131,0.536,0.477,0.21,0.413,0.889
202202,OFC,1.313,0.526,0.788,0.586,0.448,0.699
202202,OFC,1.177,1,0,0,0.597,0
202202,OFC,1.53,0,0,0,1,1
202202,OFC,1.552,0.448,0.896,0.194,0.131,0.859
202202,OFC,1.049,0.371,0.592,0.697,0.55,0.764
202202,OFC,0.807,1,1,0,1,1
202202,OFC,1.2,1,1,1,0,0.669
